2021-02-05 20:02:318 INFO  HomePage :70 - Enter salarymin [[ChromeDriver: chrome on WINDOWS (febe7f1a1718850b7664622f8ebe2d70)] -> id: salarymin]
2021-02-05 20:02:424 INFO  HomePage :78 - Enter salarymax [[ChromeDriver: chrome on WINDOWS (febe7f1a1718850b7664622f8ebe2d70)] -> id: salarymax]
2021-02-05 20:02:519 INFO  HomePage :84 - Enter salarytype [[ChromeDriver: chrome on WINDOWS (febe7f1a1718850b7664622f8ebe2d70)] -> id: salarytype]
2021-02-05 20:02:632 INFO  HomePage :91 - Enter jobtype [[ChromeDriver: chrome on WINDOWS (febe7f1a1718850b7664622f8ebe2d70)] -> id: tempperm]
2021-02-05 20:02:38 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 20:02:853 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (5858a0438f4ceacc22f4a85eb44e04e5)] -> id: keywords]
2021-02-05 20:02:972 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (5858a0438f4ceacc22f4a85eb44e04e5)] -> id: location]
2021-02-05 20:02:160 INFO  HomePage :56 - Enter distance title [[ChromeDriver: chrome on WINDOWS (5858a0438f4ceacc22f4a85eb44e04e5)] -> id: distance]
2021-02-05 20:02:479 INFO  HomePage :63 - Click on more search  [[ChromeDriver: chrome on WINDOWS (5858a0438f4ceacc22f4a85eb44e04e5)] -> id: toggle-hp-search]
2021-02-05 20:02:687 INFO  HomePage :70 - Enter salarymin [[ChromeDriver: chrome on WINDOWS (5858a0438f4ceacc22f4a85eb44e04e5)] -> id: salarymin]
2021-02-05 20:02:788 INFO  HomePage :78 - Enter salarymax [[ChromeDriver: chrome on WINDOWS (5858a0438f4ceacc22f4a85eb44e04e5)] -> id: salarymax]
2021-02-05 20:02:899 INFO  HomePage :84 - Enter salarytype [[ChromeDriver: chrome on WINDOWS (5858a0438f4ceacc22f4a85eb44e04e5)] -> id: salarytype]
2021-02-05 20:02:39 INFO  HomePage :91 - Enter jobtype [[ChromeDriver: chrome on WINDOWS (5858a0438f4ceacc22f4a85eb44e04e5)] -> id: tempperm]
2021-02-05 20:02:187 INFO  HomePage :100 - Enter jobtype [[ChromeDriver: chrome on WINDOWS (5858a0438f4ceacc22f4a85eb44e04e5)] -> id: hp-search-btn]
2021-02-05 21:02:918 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 21:02:904 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (146ccd4fb2afa8bcb303a2099a08efc6)] -> id: keywords]
2021-02-05 21:02:43 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (146ccd4fb2afa8bcb303a2099a08efc6)] -> id: location]
2021-02-05 21:02:241 INFO  HomePage :56 - Enter distance title [[ChromeDriver: chrome on WINDOWS (146ccd4fb2afa8bcb303a2099a08efc6)] -> id: distance]
2021-02-05 21:02:426 INFO  HomePage :63 - Click on more search  [[ChromeDriver: chrome on WINDOWS (146ccd4fb2afa8bcb303a2099a08efc6)] -> id: toggle-hp-search]
2021-02-05 21:02:729 INFO  HomePage :70 - Enter salarymin [[ChromeDriver: chrome on WINDOWS (146ccd4fb2afa8bcb303a2099a08efc6)] -> id: salarymin]
2021-02-05 21:02:825 INFO  HomePage :78 - Enter salarymax [[ChromeDriver: chrome on WINDOWS (146ccd4fb2afa8bcb303a2099a08efc6)] -> id: salarymax]
